created_at,polarity,subjectivity
2020-05-21,0.0659016299799973,0.33105008584008555
2020-05-22,0.0702953210990548,0.35231766413000193
2020-05-23,0.04526932550494725,0.3452762925024399
2020-05-24,0.06560523830945336,0.3464468070770217
2020-05-25,0.060927967747883,0.34464679096556594
2020-05-26,0.09828720655799761,0.3488376837865509
2020-05-27,0.061584134501030105,0.35135677406219085
2020-05-28,0.05473382368095473,0.3562099988191504
2020-05-29,0.05462695716744659,0.3375315254467556
2020-05-30,0.026835799661310215,0.330340679015636
2020-05-31,0.03563447630245488,0.33796008602368827
2020-06-01,0.04627231394547411,0.3258796166155471
