created_at,Positive,Negative,Neutral
2020-03-21,485,340,571
2020-03-22,498,400,546
2020-03-23,427,371,581
2020-03-24,461,358,647
2020-03-25,522,310,646
2020-03-26,542,256,718
2020-03-27,533,274,664
2020-03-28,476,265,529
2020-03-29,221,142,217
2020-03-30,472,278,508
2020-03-31,548,310,633
2020-04-01,430,348,664
2020-04-02,488,324,556
2020-04-03,578,329,708
2020-04-04,559,327,606
2020-04-05,527,322,705
2020-04-06,500,372,639
2020-04-07,493,323,615
2020-04-08,630,304,588
2020-04-09,594,323,714
2020-04-10,578,286,670
2020-04-11,550,338,523
2020-04-12,561,295,609
2020-04-13,633,379,763
2020-04-14,397,254,468
2020-04-15,574,314,787
2020-04-16,568,317,584
2020-04-17,520,409,587
2020-04-18,591,324,538
2020-04-19,585,304,595
2020-04-20,609,325,560
2020-04-21,633,318,534
2020-04-22,602,303,567
2020-04-23,585,361,576
2020-04-24,623,284,529
2020-04-25,650,314,670
2020-04-26,598,323,559
2020-04-27,577,291,600
2020-04-28,629,312,646
2020-04-29,587,282,579
2020-04-30,600,266,569
2020-05-01,694,271,607
2020-05-02,605,293,586
2020-05-03,615,314,568
2020-05-04,611,294,554
2020-05-05,653,304,593
2020-05-06,595,348,552
2020-05-07,654,357,527
2020-05-08,653,310,539
2020-05-09,619,284,587
2020-05-10,632,282,565
2020-05-11,595,298,646
2020-05-12,540,284,597
2020-05-13,566,305,572
2020-05-14,636,306,613
2020-05-15,619,321,588
2020-05-16,608,315,612
2020-05-17,555,319,549
2020-05-18,603,317,643
2020-05-19,638,285,583
2020-05-20,563,318,593
2020-05-21,593,332,570
2020-05-22,645,322,573
2020-05-23,576,310,618
2020-05-24,624,280,563
2020-05-25,631,315,588
2020-05-26,650,292,537
2020-05-27,628,305,562
2020-05-28,658,377,503
2020-05-29,556,374,521
2020-05-30,490,472,486
2020-05-31,605,383,600
2020-06-01,87,57,87
